,Address,Locality,Region,Postal Code,Price,SQFT House,SQFT Lot,Full Baths,Half Baths,Bedrooms,Garage,Master Bath,Cooling,Heating,Elementary School,Middle School,High School,School District,Annual Tax,House Type,Build Year,Updated,Neighborhood,Association Monthly,Schoool District
16,3012 S Sydenham St,Philadelphia,PA,19145,300000,1400,779,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3374,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
17,1234 Federal St,Philadelphia,PA,19147,685000,1966,1416,2,1,4,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: JACKSON ANDREW ', 'Elementary School: JACKSON ANDREW']","['Middle School: JACKSON ANDREW ', 'Middle School: JACKSON ANDREW']",[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3660,Multi family,1915,05/15/2020,[],['0'],53.0
18,3933 Pechin St,Philadelphia,PA,19128,242000,1540,1539,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2776,Multi family,1960,05/15/2020,['Roxborough'],['0'],53.0
19,833 Bainbridge St,Philadelphia,PA,19147,1385000,2756,[],4,1,3,[],[],[],[],[],[],[],[],[],Multi family,2012,05/15/2020,['Center City'],[],
20,1736 Roselyn St,Philadelphia,PA,19141,222000,1812,1440,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1386,Multi family,1925,05/15/2020,['Ogontz'],['0'],53.0
21,700 Commodore Ct Unit 2745,Philadelphia,PA,19146,652000,1353,[],2,[''],2,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,997,Condo,2012,05/17/2020,[],['532'],53.0
22,220 Passmore St,Philadelphia,PA,19111,195000,1188,2744,1,[''],3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1960,Single family,1925,05/16/2020,['Lawndale'],['0'],53.0
23,1631 Green St Apt C,Philadelphia,PA,19130,251000,891,[],1,1,1,[],[],['Central A/C'],['Heat Pump(s)'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3262,Condo,1900,05/17/2020,[],['242'],53.0
24,1702 S 5th St,Philadelphia,PA,19148,235000,1680,1032,[],[],0,[],[],['Multi Units'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3508,Multi family,1915,05/15/2020,['South Philadelphia'],[],53.0
25,2149 E Letterly St,Philadelphia,PA,19125,297000,931,1011,1,[''],2,[],[],['Central A/C'],['Central Heating'],"['Elementary School: MC KINLEY WILLIAM ', 'Elementary School: MC KINLEY WILLIAM']",[],"['High School: KENSINGTON HEALTH SCIENCES ACADEMY ', 'High School: KENSINGTON HEALTH SCIENCES ACADEMY']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3512,Multi family,1875,05/16/2020,['River Wards'],['0'],53.0
26,111 S 15th St Apt 1705,Philadelphia,PA,19102,282000,798,[],1,[''],1,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4131,Condo,1900,05/17/2020,['Center City'],['526'],53.0
27,10911 Church St Unit 3,Philadelphia,PA,19106,350000,943,[],1,[''],1,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4360,[],1900,[],[],['356'],53.0
28,1549 S 28th St,Philadelphia,PA,19146,180500,1244,886,1,1,3,[],[],[],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1102,Multi family,1925,05/16/2020,['South Philadelphia'],['0'],53.0
29,149 W Gale St,Philadelphia,PA,19120,72000,1200,[],1,[''],3,[],[],[],[],[],[],[],[],[],Single family,1920,05/15/2020,['Olney'],[],
30,6655 Walker St,Philadelphia,PA,19135,165000,1088,1296,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1706,Multi family,1950,05/15/2020,['North Delaware'],['0'],53.0
31,5777 E Wister St,Philadelphia,PA,19138,40000,1500,1333,3,[''],4,[],[],[],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1405,Multi family,1915,05/15/2020,['Ogontz'],['0'],53.0
32,1537 S 5th St,Philadelphia,PA,19147,260000,1848,1016,[],[],0,[],[],[],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3831,Multi family,1915,05/15/2020,['South Philadelphia'],[],53.0
33,2113 Hartel Ave,Philadelphia,PA,19152,225000,1046,4171,2,1,3,[],11,['Central A/C'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2696,Single family,1961,05/15/2020,['Rhawnhurst'],['0'],53.0
34,302 N 39th St,Philadelphia,PA,19104,1025000,2338,[],2,1,4,[],[],[],[],[],[],[],[],[],Single family,1930,05/16/2020,[],[],
35,121 League St,Philadelphia,PA,19147,357000,1160,1289,1,[''],3,[],[],['Wall Unit Cooling'],['Radiant'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5060,Multi family,1915,05/15/2020,['Queen Village'],['0'],53.0
36,7329 N 21st St,Philadelphia,PA,19138,249900,1502,1887,2,1,3,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1957,Multi family,1925,05/15/2020,['West Oak Lane'],['0'],53.0
37,507 Christian St,Philadelphia,PA,19147,440000,2634,1080,[],[],0,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7346,Multi family,1915,05/15/2020,['Queen Village'],[],53.0
38,2211 Moore St,Philadelphia,PA,19145,545000,[],1011,[],[],0,[],[],['Heat Pump(Cooling)'],['Heat Pump(s)'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,559,Land,2019,05/16/2020,['South Philadelphia'],[],53.0
39,322 S 46th St,Philadelphia,PA,19143,840000,4200,2329,4,2,5,[],11,['Central A/C'],['Forced Air Heating'],"['Elementary School: LEA HENRY ', 'Elementary School: LEA HENRY']",[],"['High School: WEST PHILADELPHIA ', 'High School: WEST PHILADELPHIA']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,6942,Multi family,1925,05/15/2020,['West Philadelphia'],['0'],53.0
40,152731 N Bailey St,Philadelphia,PA,19121,910000,10044,[],1,2,3,[],[],[],[],[],[],[],[],[],[],1925,[],[],[],
41,410 S Front St Unit 402,Philadelphia,PA,19147,1065000,2094,[],3,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1950,Condo,2015,05/17/2020,['Center City'],['1576'],53.0
42,1340 Wells St,Philadelphia,PA,19111,168000,1213,1169,1,1,3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1639,Multi family,1947,05/15/2020,['Oxford Circle'],['0'],53.0
43,271 W Spencer St,Philadelphia,PA,19120,182000,1518,1157,2,1,4,[],[],['Wall Unit Cooling'],['Baseboard '],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1671,Multi family,1935,05/16/2020,['Olney'],['0'],53.0
44,2227 N 54th St,Philadelphia,PA,19131,560000,5130,19199,3,1,7,[],[],['Central A/C'],['Hot Water'],"['Elementary School: MASTERY CHARTER SCHOOL MANN ', 'Elementary School: MASTERY CHARTER SCHOOL MANN']","['Middle School: SAMUEL GOMPERS SCHOOL ', 'Middle School: SAMUEL GOMPERS SCHOOL']","['High School: OVERBROOK ', 'High School: OVERBROOK']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4321,Single family,1925,05/15/2020,['West Philadelphia'],['0'],53.0
45,9220 Andover Rd,Philadelphia,PA,19114,290000,2500,5999,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3473,Single family,1958,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
46,515 Fairmount Ave,Philadelphia,PA,19123,515000,3470,1938,3,1,5,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7238,Multi family,1920,05/15/2020,['Center City'],['0'],53.0
47,1330 Rodman St,Philadelphia,PA,19147,860000,1806,800,2,[''],3,[],[],['Central A/C'],['Hot Water'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,5700,Multi family,1900,05/15/2020,['Center City'],['0'],53.0
48,2413 Manton St,Philadelphia,PA,19146,590000,2504,927,3,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1882,Single family,2016,05/16/2020,['South Philadelphia'],['100'],53.0
49,1941 Nicholas St,Philadelphia,PA,19121,377000,2300,756,3,[''],4,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,92,Single family,[],05/15/2020,['Lower North'],['0'],53.0
50,523 Christian St,Philadelphia,PA,19147,360000,1875,693,2,[''],4,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4931,Multi family,1920,05/15/2020,['Queen Village'],['0'],53.0
51,2022-24 Chancellor St,Philadelphia,PA,19103,1715000,3900,1592,3,2,4,[],11,['Central A/C'],['Programmable Thermostat Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,13978,[],1881,[],['Center City'],['0'],53.0
52,7245 Guyer Ave,Philadelphia,PA,19153,125000,936,1245,2,[''],2,[],[],['Window Unit(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1461,Multi family,1966,05/15/2020,['Southwest Philadelphia'],['0'],53.0
53,1510 S Bambrey St,Philadelphia,PA,19146,390000,[],615,3,[''],4,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,202,Land,[],05/16/2020,['Grays Ferry'],['0'],53.0
54,2215 S Mildred St,Philadelphia,PA,19148,240000,1080,665,2,[''],2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2245,Multi family,1920,05/17/2020,['South Philadelphia'],['0'],53.0
55,4300 Marple St,Philadelphia,PA,19136,175000,1078,[],1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1726,Multi family,1950,05/16/2020,['North Delaware'],['0'],53.0
56,9125 Revere St,Philadelphia,PA,19152,257000,1337,2250,2,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2756,Single family,1956,05/15/2020,['Far Northeast Philadelphia'],['0'],53.0
57,829 Unruh Ave,Philadelphia,PA,19111,228000,1568,3080,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2578,Single family,1950,05/15/2020,['Oxford Circle'],['0'],53.0
58,4559 Tudor St,Philadelphia,PA,19136,169900,1046,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1950,05/15/2020,['North Delaware'],[],
59,2709 Tremont St,Philadelphia,PA,19136,250000,1452,5142,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2753,Single family,1959,05/15/2020,['Far Northeast Philadelphia'],['0'],53.0
60,400 N Redfield St,Philadelphia,PA,19151,125000,1344,1300,[],[],0,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,802,Multi family,1920,05/15/2020,['Haddington'],[],53.0
61,6838 Finch Pl,Philadelphia,PA,19142,228000,1480,1801,2,1,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1732,Multi family,1965,05/15/2020,['Southwest Philadelphia'],['0'],53.0
62,3532 Oakhill Rd,Philadelphia,PA,19154,215000,850,[],1,1,2,[],[],[],[],[],[],[],[],[],Multi family,1967,05/16/2020,['Far Northeast Philadelphia'],[],
63,7387 Rugby St,Philadelphia,PA,19138,209900,1426,1322,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2532,Multi family,1925,05/15/2020,['West Oak Lane'],['0'],53.0
64,1441 S Bouvier St,Philadelphia,PA,19146,386000,1804,672,3,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,831,Multi family,2016,05/16/2020,['South Philadelphia'],['0'],53.0
65,1521 Stoney Ln Unit B,Philadelphia,PA,19115,212000,1664,[],2,1,2,[],[],[],[],[],[],[],[],[],Condo,1980,05/17/2020,['Bustleton'],[],
66,311 Shawmont Ave Apt F,Philadelphia,PA,19128,155000,1311,[],2,[''],2,[],[],[],[],[],[],[],[],[],[],1980,[],['Dearnley Park'],[],
67,1316 S Ringgold St,Philadelphia,PA,19146,365000,2029,[],2,1,3,[],[],[],[],[],[],[],[],[],Multi family,1923,05/16/2020,['South Philadelphia'],[],
68,5932 Frontenac St,Philadelphia,PA,19149,169900,1348,1407,1,[''],3,[],[],['Ceiling Fan(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1650,Multi family,1925,05/15/2020,['Oxford Circle'],['0'],53.0
69,2826 Aramingo Ave,Philadelphia,PA,19134,205000,1212,1284,2,[''],3,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1366,Multi family,1925,05/16/2020,['Richmond'],['0'],53.0
70,20159 N 8th St Unit 705,Philadelphia,PA,19106,299000,960,[],1,[''],1,[],[],[],[],[],[],[],[],[],[],1970,[],[],[],
71,12017 Elmore Rd,Philadelphia,PA,19154,300000,1942,10949,2,[''],4,[],[],['Ceiling Fan(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3777,Single family,1953,05/16/2020,['Far Northeast Philadelphia'],['0'],53.0
72,15049 Liberty Ln,Philadelphia,PA,19116,290000,1440,2448,2,1,3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3348,Single family,1986,05/16/2020,['Somerton'],['0'],53.0
73,1933 Watkins St,Philadelphia,PA,19145,388000,1500,629,2,1,3,[],11,['Central A/C'],['Hot Water'],"['Elementary School: DELAPLAINE MCDANIEL ', 'Elementary School: DELAPLAINE MCDANIEL']",[],"['High School: SOUTH PHILADELPHIA ', 'High School: SOUTH PHILADELPHIA']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,668,Multi family,1925,05/16/2020,['South Philadelphia'],['0'],53.0
74,522 Acorn St,Philadelphia,PA,19128,255000,1766,3926,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3137,Single family,1950,05/15/2020,['Lower Northwest'],['0'],53.0
75,2601 Pennsylvania Ave Apt 1142,Philadelphia,PA,19130,252500,938,[],1,[''],2,[],[],['Ductless/Mini'],['Programmable Thermostat Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2762,Condo,1950,05/17/2020,['Center City'],['587'],53.0
76,5924 Frontenac St,Philadelphia,PA,19149,210000,1348,1407,2,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1650,Multi family,1925,05/15/2020,['Oxford Circle'],['0'],53.0
77,4142 E Robbins Ave,Philadelphia,PA,19135,185000,1424,[],2,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1940,05/15/2020,['North Delaware'],[],
78,2221 S Colorado St,Philadelphia,PA,19145,255000,1030,679,1,1,3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2342,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
79,526 Monastery Ave,Philadelphia,PA,19128,272000,1333,1644,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],[],[],"['High School: ROXBOROUGH ', 'High School: ROXBOROUGH']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3085,Multi family,1940,05/15/2020,['Roxborough'],['0'],53.0
80,7837 Devon St,Philadelphia,PA,19118,329900,1440,1790,1,1,3,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: JOHN STORY JENKS SCHOOL ', 'Elementary School: JOHN STORY JENKS SCHOOL']","['Middle School: JOHN STORY JENKS SCHOOL ', 'Middle School: JOHN STORY JENKS SCHOOL']","['High School: GERMANTOWN ', 'High School: GERMANTOWN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3940,Multi family,1925,05/15/2020,['Chestnut Hill'],['0'],53.0
81,2611 E Clementine St,Philadelphia,PA,19134,269900,1150,[],1,1,3,[],[],[],[],[],[],[],[],[],Single family,1920,05/16/2020,['Richmond'],[],
82,922 Bergen St,Philadelphia,PA,19111,250000,1120,[],2,[''],2,[],[],[],[],[],[],[],[],[],Single family,1969,05/16/2020,['Near Northeast Philadelphia'],[],
83,1612 W Oregon Ave,Philadelphia,PA,19145,325000,1410,1085,2,[''],4,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,4639,Multi family,1920,05/16/2020,['South Philadelphia'],['0'],53.0
84,7610 Woodbine Ave,Philadelphia,PA,19151,220000,1558,1671,2,2,4,[],[],['Central A/C'],['Forced Air Heating'],[],[],"['High School: OVERBROOK ', 'High School: OVERBROOK']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,[],Multi family,1949,05/16/2020,['West Philadelphia'],['0'],53.0
85,612 S Clarion St,Philadelphia,PA,19147,350000,1028,397,1,[''],2,[],[],['Central A/C'],['Forced Air Heating'],"['Elementary School: JACKSON ANDREW ', 'Elementary School: JACKSON ANDREW']",[],"['High School: FURNESS HORACE ', 'High School: FURNESS HORACE']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2539,Multi family,1920,05/15/2020,['Center City'],['0'],53.0
86,3703 Midvale Ave,Philadelphia,PA,19129,238500,1200,1150,1,1,3,[],[],['Ceiling Fan(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2314,Multi family,1940,05/17/2020,['Upper Northwest'],['0'],53.0
87,2937 Lardner St,Philadelphia,PA,19149,155000,1136,1446,1,[''],3,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1720,Multi family,1950,05/16/2020,['North Delaware'],['0'],53.0
88,7917 Lister St,Philadelphia,PA,19152,180000,804,2920,1,1,2,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2993,Single family,1960,05/16/2020,['Near Northeast Philadelphia'],['0'],53.0
89,1916 Auth St,Philadelphia,PA,19124,89900,840,[],1,1,2,[],[],[],[],[],[],[],[],[],Multi family,1940,05/16/2020,['Kensington'],[],
90,543 E Comly St,Philadelphia,PA,19120,143000,1350,1650,2,[''],3,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],[],[],"['High School: ABRAHAM LINCOLN ', 'High School: ABRAHAM LINCOLN']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1405,Multi family,1925,05/16/2020,['Lawndale'],['0'],53.0
91,339 E Vernon Rd,Philadelphia,PA,19119,165000,1520,[],1,[''],3,[],[],[],[],[],[],[],[],[],Multi family,1925,05/16/2020,['Upper Northwest'],[],
92,314 N 12th St Apt 601,Philadelphia,PA,19107,213500,730,[],1,[''],1,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2912,Condo,1900,05/17/2020,[],['299'],53.0
93,811 S Cecil St,Philadelphia,PA,19143,214000,1140,[],3,[''],3,[],11,[],[],[],[],[],[],[],Multi family,1920,05/15/2020,['Cobbs Creek'],[],
94,3722 Richmond St,Philadelphia,PA,19137,155000,716,[],1,[''],2,[],[],[],[],[],[],[],[],[],Multi family,1955,05/15/2020,['Richmond'],[],
95,777 S 6th St,Philadelphia,PA,19147,575000,2100,814,[],[],0,[],[],['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,7499,Multi family,1915,05/15/2020,['Queen Village'],[],53.0
96,5712 Hoffman Ave,Philadelphia,PA,19143,130000,1040,1815,2,[''],3,[],[],[],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,678,Multi family,1920,05/15/2020,['Kingsessing'],['0'],53.0
97,125 W Pomona St,Philadelphia,PA,19144,200000,1173,1169,1,1,3,[],[],['Central A/C'],['Central Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2118,Multi family,1900,05/16/2020,['Upper Northwest'],['0'],53.0
98,1900 Hamilton St Unit 503,Philadelphia,PA,19130,695000,1427,[],2,[''],2,[],[],['Central A/C'],['Heat Pump(s)'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,8068,Condo,2007,05/17/2020,['Center City'],['737'],53.0
99,1810 Lansing St,Philadelphia,PA,19111,231000,1536,2821,1,1,3,[],[],['Window Unit(s)'],['Radiator'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2583,Single family,1925,05/15/2020,['Rhawnhurst'],['0'],53.0
100,4202 Lackland Ter,Philadelphia,PA,19114,245000,2104,1620,1,1,3,[],[],['Ceiling Fan(s)'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,2819,Multi family,1973,05/16/2020,['Torresdale'],['0'],53.0
101,7717 Fairfield St,Philadelphia,PA,19152,279900,1230,5575,2,[''],3,[],11,['Central A/C'],['Forced Air Heating'],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3365,Single family,1965,05/16/2020,['Near Northeast Philadelphia'],['0'],53.0
102,2022 Disston St,Philadelphia,PA,19149,175500,1126,1486,1,[''],3,[],[],['Central A/C'],[],[],[],[],School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,1806,Multi family,1950,05/15/2020,['Oxford Circle'],['0'],53.0
103,3466 Division St,Philadelphia,PA,19129,175000,1080,1319,1,1,3,[],[],['Window Unit(s)'],['Hot Water'],"['Elementary School: THOMAS MIFFLIN SCHOOL ', 'Elementary School: THOMAS MIFFLIN SCHOOL']","['Middle School: THOMAS MIFFLIN SCHOOL ', 'Middle School: THOMAS MIFFLIN SCHOOL']","['High School: ROXBOROUGH ', 'High School: ROXBOROUGH']",School District: THE SCHOOL DISTRICT OF PHILADELPHIA ,3084,Single family,1939,05/17/2020,['Upper Northwest'],['0'],53.0
